price_id,product_id,supermarket_id,price_egp,discount_price,is_on_sale,recorded_date,source,load_timestamp
1,41,1,21.78,18.72,True,2024-01-01,carrefour_app,2024-01-01 08:00:00
2,8,1,22.46,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
3,2,1,30.55,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
4,18,1,20.04,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
5,16,1,27.8,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
6,15,1,10.2,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
7,9,1,18.39,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
8,7,1,40.49,35.34,True,2024-01-01,carrefour_app,2024-01-01 08:00:00
9,35,1,11.85,10.35,True,2024-01-01,carrefour_app,2024-01-01 08:00:00
10,6,1,53.68,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
11,38,1,30.24,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
12,28,1,9.92,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
13,3,1,27.61,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
14,48,1,22.2,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
15,50,1,29.41,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
16,14,1,34.29,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
17,45,1,8.23,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
18,33,1,20.07,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
19,37,1,63.28,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
20,47,1,181.99,160.43,True,2024-01-01,carrefour_app,2024-01-01 08:00:00
21,43,1,27.61,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
22,23,1,287.44,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
23,21,1,197.78,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
24,29,1,7.95,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
25,31,1,13.97,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
26,42,1,44.32,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
27,49,1,14.79,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
28,34,1,25.6,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
29,19,1,88.48,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
30,44,1,55.03,47.03,True,2024-01-01,carrefour_app,2024-01-01 08:00:00
31,1,1,31.25,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
32,36,1,66.14,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
33,25,1,29.21,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
34,11,1,77.23,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
35,39,1,87.4,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
36,40,1,53.39,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
37,4,1,25.27,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
38,13,1,29.58,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
39,8,2,22.59,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
40,19,2,90.15,,False,2024-01-01,carrefour_app,2024-01-01 08:00:00
